DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
2016-01-25,17110.91,17208.24,16922.21,17145.81,0
2016-01-26,16708.9,16839.52,16652.26,16833.13,0
2016-01-27,17163.92,17242.27,16947.95,16949.19,0
2016-01-28,17041.45,17235.44,16942.13,17059.84,0
2016-01-29,17518.3,17638.93,16767.09,17155.06,0
2016-02-01,17865.23,17905.37,17666.48,17699.6,0
2016-02-02,17750.68,17864.7,17684.66,17716.52,0
2016-02-03,17191.25,17515.68,17080.57,17497.41,0
2016-02-04,17044.99,17209.56,16941.88,17071.11,0
2016-02-05,16819.59,16893.12,16627.8,16790.53,0
2016-02-08,17004.3,17099.01,16552.3,16620.91,0
2016-02-09,16085.44,16668.7,16025.94,16666.79,0
2016-02-10,15713.39,16163.03,15429.99,16127.86,0
2016-02-12,14952.61,15437.22,14865.77,15426.27,0
2016-02-15,16022.58,16155.1,15243.88,15248.38,0
2016-02-16,16054.43,16341.56,15809.58,15849.47,0
2016-02-17,15836.36,16214.46,15632.12,16035.35,0
2016-02-18,16196.8,16337.59,16118.8,16138.08,0
2016-02-19,15967.17,16050.46,15799.35,16050.4,0
2016-02-22,16111.05,16187.4,15816.83,15851.39,0
2016-02-23,16052.05,16350.38,16001.19,16230.38,0
2016-02-24,15915.79,16006.45,15753.77,15851.13,0
2016-02-25,16140.34,16218.29,15953.93,15983.47,0
2016-02-26,16188.41,16472.5,16188.41,16311.52,0
2016-02-29,16026.76,16464.75,16026.76,16313.31,0
2016-03-01,16085.51,16099.42,15857.37,16013,0
2016-03-02,16746.55,16815.25,16388.92,16391.48,0
2016-03-03,16960.16,16962.95,16691.94,16695.78,0
2016-03-04,17014.78,17042.92,16861.38,16927.36,0
2016-03-07,16911.32,17026.25,16894.58,17024.64,0
2016-03-08,16783.15,16909.79,16570.22,16889.48,0
2016-03-09,16642.2,16706.25,16494.8,16625.59,0
2016-03-10,16852.35,16887.6,16713.13,16811,0
2016-03-11,16938.87,17015.3,16575.75,16610.18,0
2016-03-14,17233.75,17291.35,17149.21,17155.52,0
2016-03-15,17117.07,17279.3,17042.56,17219.89,0
2016-03-16,16974.45,17102.45,16950.84,16981.36,0
2016-03-17,16936.38,17253.03,16814.84,17107.6,0
2016-03-18,16724.81,16920.91,16613.69,16883.75,0
2016-03-22,17048.55,17107.8,16851.21,16937.31,0
2016-03-23,17000.98,17142.08,16964.31,17066.27,0
2016-03-24,16892.33,17041.16,16843.99,16979.39,0
2016-03-25,17002.75,17026.14,16889.4,16949.53,0
2016-03-28,17134.37,17167.88,16961.41,17129.27,0
2016-03-29,17103.53,17137.2,16948.43,16985.28,0
2016-03-30,16878.96,17078.03,16875.91,17078.03,0
2016-03-31,16758.67,17033.65,16758.67,16997.14,0
2016-04-01,16164.16,16719.56,16113.01,16719.56,0
2016-04-04,16123.27,16238.51,16029.5,16087.76,0
2016-04-05,15732.82,16066.18,15698.55,16044.23,0
2016-04-06,15715.36,15828.61,15612.91,15727.7,0
2016-04-07,15749.84,15871.1,15636.21,15739.26,0
2016-04-08,15821.52,16027.63,15471.8,15597.04,0
2016-04-11,15751.13,15778.74,15525.49,15761.57,0
2016-04-12,15928.79,15963.03,15693.61,15719.24,0
2016-04-13,16381.22,16405.59,16132.23,16142.71,0
2016-04-14,16911.05,16911.05,16602.17,16629.83,0
2016-04-15,16848.03,16928.67,16720.39,16720.39,0
2016-04-18,16275.95,16526.9,16254.2,16521.25,0
2016-04-19,16874.44,16900.33,16570.5,16582.66,0
2016-04-20,16906.54,17099.36,16870.73,17053.83,0
2016-04-21,17363.62,17381.7,17144.53,17187.27,0
2016-04-22,17572.49,17572.49,17192.39,17220.47,0
2016-04-25,17439.3,17613.56,17403.87,17613.56,0
2016-04-26,17353.28,17426.02,17200.5,17358.56,0
2016-04-27,17290.49,17417.54,17230.23,17369.68,0
2016-04-28,16666.05,17572.27,16652.74,17438.99,0
2016-05-02,16147.38,16357.1,15975.47,16357.1,0
2016-05-06,16106.72,16271.61,15989.35,16212.67,0
2016-05-09,16216.03,16292.86,16159.31,16226.57,0
2016-05-10,16565.19,16587.63,16229.15,16307.5,0
2016-05-11,16579.01,16814.64,16536.61,16736.72,0
2016-05-12,16646.34,16658.07,16374.59,16459.69,0
2016-05-13,16412.21,16804.17,16400.87,16804.17,0
2016-05-16,16466.4,16632.62,16391.92,16391.92,0
2016-05-17,16652.8,16655.89,16509.31,16618.95,0
2016-05-18,16644.69,16795.47,16513.17,16611.4,0
2016-05-19,16646.66,16841.04,16590.16,16807.46,0
2016-05-20,16736.35,16770.87,16548.34,16594.99,0
2016-05-23,16654.6,16691.5,16417.84,16671.28,0
2016-05-24,16498.76,16605.04,16471.37,16605.04,0
2016-05-25,16757.35,16806.03,16731.12,16764.35,0
2016-05-26,16772.46,16957.56,16743.17,16927.69,0
2016-05-27,16834.84,16901.09,16792.73,16830.5,0
2016-05-30,17068.02,17068.02,16910.19,16973.72,0
2016-05-31,17234.98,17251.36,16988.64,17029.46,0
2016-06-01,16955.73,17145.95,16908.92,17097.22,0
2016-06-02,16562.55,16819.85,16525.47,16817.26,0
2016-06-03,16642.23,16716.14,16554.6,16599.51,0
2016-06-06,16580.03,16581.3,16322.64,16373.32,0
2016-06-07,16675.45,16701.01,16536.23,16651.05,0
2016-06-08,16830.92,16830.92,16581.71,16722.49,0
2016-06-09,16668.41,16785.83,16587.77,16742.03,0
2016-06-10,16601.36,16643.36,16496.11,16637.51,0
2016-06-13,16019.18,16335.38,16019.18,16319.11,0
2016-06-14,15859,16082.5,15762.09,16001.19,0
2016-06-15,15919.58,15997.3,15752.01,15799.07,0
2016-06-16,15434.14,15913.08,15395.98,15871.22,0
